Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
OTU1077373	0.104837583338822	0.3	1.23452110511166	1.235	<2e-16	0.215	0.0111	NA	0.748783950617284	0.0124521246458924	0.32	0.419
OTU1139897	0.540834292101819	0.823	0.717512297787802	0.718	0.0039	0.734	<2e-16	0.0242863636363636	0.944539071347678	NA	0.01	0.737
OTU176230	1.332274525212	1.281	1.41658079540176	1.417	0.596	0.344	<2e-16	0.800509803921569	0.861689956331878	NA	0.001	0.799
OTU986574	0.042184942959318	0.163	0.576835991616278	0.577	2.88e-12	0.339	0.000141	1.7536e-10	0.859414965986395	0.00019730035335689	0.158	0.346
OTU174588	1.15451805233302	1.092	1.22010455763329	1.22	0.608	0.2	<2e-16	0.810666666666667	0.740397350993378	NA	0.002	0.732
OTU197649	0.793939084645039	1.093	0.754031879375415	0.754	0.523	0.0158	<2e-16	0.745394018205462	0.602843137254902	NA	0.008	0.691
OTU175184	0.136185714386391	0.276	0.166341928291547	0.166	0.41	0.994	0.000165	0.647492795389049	0.996674439461883	0.000228461538461538	0.002	0.223
OTU175180	2.03344822843614	0.837	2.0944049023641	2.094	0.522	0.693	<2e-16	0.7449375	0.922582639714625	NA	0.001	0.54
OTU179601	0.895063226373982	0.983	0.974822683751917	0.975	0.481	0.389	<2e-16	0.7124	0.8643	NA	0.001	0.725
OTU312586	1.97672397230798	1.12	1.78817174974577	1.788	0.0321	0.863	<2e-16	0.122538888888889	0.969682412060301	NA	0.009	0.549
OTU183385	0.252121279330385	0.414	0.223592031757592	0.224	0.499	0.665	0.000605	0.724376158940397	0.921740920096852	0.000790693069306931	0.002	0.202
OTU145572	0.318374668815195	0.661	0.323901921911459	0.324	0.872	0.995	<2e-16	0.940661417322835	0.996783154121864	NA	0	0.656
OTU4435784	0.610501623526365	0.753	0.478206924959861	0.478	0.0248	0.152	<2e-16	0.0999294117647059	0.695943775100402	NA	0.011	0.636
OTU183162	0.220345806341953	0.512	0.247258807910654	0.247	0.471	0.84	<2e-16	0.711880920162382	0.966006042296073	NA	0.001	0.606
OTU181833	0.241916958881758	0.452	0.322020710272499	0.322	0.0848	0.645	<2e-16	0.237700255754476	0.92095785440613	NA	0.007	0.511
OTU177466	1.00085190668849	1.096	0.975215402720634	0.975	0.772	0.568	<2e-16	0.892523206751055	0.903174560216509	NA	0	0.81
OTU367889	0.497814657322175	0.83	0.522642513352127	0.523	0.623	0.124	<2e-16	0.817734131736527	0.67956862745098	NA	0.003	0.701
OTU368698	0.373710433897436	0.56	0.403948863844801	0.404	0.535	0.433	1.03e-15	0.756593548387097	0.87244925124792	5.0292e-14	0.002	0.486
OTU177602	0.693350147543584	0.792	0.793659235893544	0.794	0.195	0.337	<2e-16	0.410738049713193	0.859414965986395	NA	0.004	0.595
OTU583974	0.243257329745817	0.481	0.452806808330218	0.453	0.000182	0.31	5.01e-14	0.00171958620689655	0.848602409638554	5.511e-13	0.034	0.483
OTU4301298	0.814724194764775	1.214	0.814883426839526	0.815	0.668	0.315	<2e-16	0.840853211009174	0.848602409638554	NA	0.001	0.836
OTU149109	0.336743514373536	0.485	0.211442442517578	0.211	0.00968	0.198	9.25e-09	0.0480057918552036	0.740347826086957	2.37857142857143e-08	0.023	0.36
OTU198696	0.271289348585768	0.352	0.226822805394707	0.227	0.239	0.886	5.29e-08	0.461169014084507	0.976049212598425	1.18352542372881e-07	0.004	0.33
OTU192462	1.05096005112774	1.048	1.08243955449723	1.082	0.968	0.152	<2e-16	0.990361445783132	0.695943775100402	NA	0.002	0.752
OTU931528	0.127835544388157	0.318	0.900802805197623	0.901	8.02e-14	0.389	4.76e-05	8.78992e-12	0.8643	7.05977528089888e-05	0.176	0.373
OTU752354	0.371274014443158	0.642	0.444396620810298	0.444	0.114	0.0315	<2e-16	0.289893271461717	0.602843137254902	NA	0.008	0.726
OTU172233	0.405944193431088	0.507	0.326601180036542	0.327	0.138	0.763	5.24e-10	0.322490405117271	0.952416481069042	1.59618461538462e-09	0.006	0.38
OTU186652	0.998332452382455	0.919	1.0935680765606	1.094	0.141	0.0315	<2e-16	0.327406779661017	0.602843137254902	NA	0.009	0.687
OTU198439	0.407034720541792	0.592	0.521465471358695	0.521	0.0182	0.563	<2e-16	0.0770162162162162	0.903174560216509	NA	0.009	0.658
OTU2029459	0.430299268752208	0.672	0.436023890364649	0.436	0.873	0.214	<2e-16	0.940814159292035	0.748783950617284	NA	0.002	0.724
OTU179812	0.538012451103017	0.804	0.533876826175434	0.534	0.647	0.158	<2e-16	0.827748251748252	0.698197628458498	NA	0.003	0.703
OTU174170	0.395014106713822	0.739	0.384038047637793	0.384	0.875	0.191	<2e-16	0.941118743866536	0.738885813148789	NA	0.002	0.7
OTU4381553	1.58571613971347	1.249	1.56584869284119	1.566	0.641	0.85	<2e-16	0.827486454652532	0.966006042296073	NA	0	0.725
