Taxa	stoolMeans	swabMeans	Origin p-value	Treatment p-value	Time p-value	Individual p-value	Origin (adj p-value)	Treatment (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Parabacteroides	3.36554880716348	3.32384657671515	0.691343587611703	0.716477433283907	0.874370003901391	1.7727659690853e-39	0.802219446002259	0.90852293086516	0.986674408072212	2.72562767746865e-38
Paraprevotella	1.90367557462013	1.78878672105212	0.363394548881347	0.185306167700007	0.755876484295145	3.7934968079509e-31	0.545091823322021	0.543120398874209	0.949135961454365	2.45579003883137e-30
Parasporobacterium	0.190737765944703	0.14001216312108	0.257270504635289	0.040361657327598	0.857891484580623	2.78198812957517e-05	0.410964572339487	0.248224192564727	0.986674408072212	3.88846068111075e-05
Parasutterella	2.15744218638843	2.33707114881838	0.24298342770795	0.712602249722394	0.316365659917194	4.69667407892172e-46	0.398492821441038	0.90852293086516	0.949135961454365	1.9256363723579e-44
Parvimonas	0.152132765938238	0.452727705136334	0.000840539192721212	0.568951238932501	0.47452396655835	0.00281707056801461	0.00279422488391106	0.853426858398752	0.949135961454365	0.00346499679865797
Peptococcus	0.153148634585819	0.615873924120332	2.33608959301814e-09	0.633879479197279	0.332153763019073	1.39782980636158e-06	1.30608645427832e-08	0.895904124031332	0.949135961454365	2.23289696340876e-06
Peptoniphilus	0.568631395803402	2.50402188806498	8.45443470201869e-47	0.697397092291325	0.168225066314727	0.00823671862770662	1.0398954683483e-44	0.90852293086516	0.889462235481201	0.00974150376161456
Peptostreptococcus	0.181724003398196	1.00977281573143	9.88831374820982e-13	0.567917298227421	0.352759999726329	0.000114277951331535	8.10841727353205e-12	0.853426858398752	0.949135961454365	0.000152784652323683
Phascolarctobacterium	2.68100036467649	2.41921404490859	0.0892704371609735	0.000603572071875792	0.832680242861275	6.60516358596107e-38	0.177101028561286	0.0247464549469075	0.985127170829171	7.38577382793828e-37
Porphyromonas	0.453824149673609	1.80036283748481	9.1129704097827e-24	0.797068413219836	0.298834599320907	1.69097275326085e-06	1.40111920050409e-22	0.951637842378126	0.949135961454365	2.63278036267195e-06
Prevotella	1.71698928913587	2.82876434753833	4.80534842232138e-12	0.53455103133002	0.625983999962002	1.28711803282954e-22	3.28365475525294e-11	0.821872210669906	0.949135961454365	4.94735993868855e-22
Propionibacterium	0.162608051128379	0.234757671823931	0.15361197819819	0.288520850079617	0.15323770776997	2.75198009751933e-05	0.277856960564373	0.623344363808501	0.889462235481201	3.88846068111075e-05
Pseudoflavonifractor	2.4342628673894	2.51769324179882	0.197833351189547	0.757796795948145	0.134289618136774	4.57971586584656e-06	0.337965308282143	0.922861444570514	0.889462235481201	6.95438335184108e-06
Ralstonia	0.423587605205783	0.492949468335745	0.400921073687784	0.724369695304425	0.428042281744712	0.000131281971199098	0.580156377218793	0.909157882882085	0.949135961454365	0.000173630994166549
Robinsoniella	0.270094299126277	0.373058146044384	0.136089774598884	0.194752004796998	0.163270274384885	1.04650694286085e-05	0.257523727317889	0.544420377046153	0.889462235481201	1.51435710555158e-05
Roseburia	3.42588105602558	3.15052279716212	1.85598452107491e-05	0.0345143262317312	0.132772581814857	1.79502450575674e-10	7.87193434800739e-05	0.23584789591683	0.889462235481201	3.29534349564297e-10
Rothia	0.426070323811722	0.239351624391278	0.00727243409073728	0.114644046833436	0.801437910460245	3.22799943928661e-09	0.0208025440269927	0.522267324463432	0.976008544421883	5.59216804270779e-09
Ruminococcus	2.64644309804	2.54516462282945	0.500133001396034	0.435588745850269	0.958930982120605	6.54632761801393e-28	0.691195046873171	0.787903172640928	0.986762647559996	3.22079318806285e-27
Salmonella	0.141299193847133	0.388159895295455	0.00133520867833642	0.0397092225247745	0.73598056924399	9.81516818255324e-12	0.00432185966935209	0.248224192564727	0.949135961454365	1.97912407615418e-11
Slackia	0.601062028469662	0.444214444321934	0.147963256815336	0.144201604657564	0.588087449381474	3.88464878325388e-35	0.27163403863114	0.527791211772251	0.949135961454365	2.98632375212642e-34
Solobacterium	0.489977927562299	0.510544458622245	0.824832489199666	0.067925977562479	0.537840664211579	9.29123097985545e-12	0.905842822960348	0.379767965462951	0.949135961454365	1.90470235087037e-11
Sphingomonas	0.14202740717103	0.168117494710516	0.58504762235637	0.327061738740979	0.222136668135983	7.95920440772384e-07	0.749592266144099	0.65948514533017	0.899784019464909	1.28813439756583e-06
Sporobacter	0.521746019577184	0.354425681995151	0.0290447212703403	0.00105818728755227	0.982725967339894	3.21273319236193e-16	0.0649545584773065	0.0325392590922322	0.986762647559996	8.78147072578928e-16
Streptococcus	2.74137175587706	2.79974985522321	0.564640462642855	0.420440654833652	0.862646447173072	2.90326327178136e-12	0.743573102728758	0.77705469830088	0.986674408072212	6.15692038670874e-12
Streptophyta	0.748788974132105	0.249842534835203	3.61150206731197e-09	0.485164085853304	0.872346399262236	0.166014570808363	1.93136849686684e-08	0.806421385945357	0.986674408072212	0.176032691460592
Subdoligranulum	3.00302455571215	2.89336260116207	0.381637601682626	0.231431384138569	0.832953055010031	1.91086247529316e-38	0.564384109214735	0.551591668897696	0.985127170829171	2.35036084461058e-37
Succinispira	0.322483308080982	0.405024087308503	0.472124124430245	0.843368067423603	0.193764783222029	4.49665963228797e-37	0.675247294243258	0.96350745947665	0.889462235481201	3.95063667693872e-36
Sutterella	0.945953370667363	1.03976712007564	0.56697785104372	0.685519597958572	0.64261344367715	1.02001623789199e-38	0.743573102728758	0.90852293086516	0.949135961454365	1.39402219178571e-37
Syntrophococcus	2.24443898795699	2.21193152576572	0.758881580081163	0.1731056855475	0.14402221785747	1.70589805953651e-25	0.856352608715441	0.543120398874209	0.889462235481201	6.99418204409969e-25
TM7_genera_incertae_sedis	0.885444052249704	0.313067725807293	8.25537680589925e-13	0.147340272999262	0.117704081519088	0.0355884887738115	7.25293819375435e-12	0.527791211772251	0.889462235481201	0.0409101319549422
Thermus	0.205794187383381	1.57622136389105	9.26574603872716e-35	0.627073275735386	0.0945763509434184	0.10082431954026	1.89947793793907e-33	0.895904124031332	0.889462235481201	0.110726708066535
Turicibacter	0.826713885882923	0.552482584418187	0.0109238648397451	0.977962373075004	0.0529297361623392	2.97329387628015e-13	0.0305371676201966	0.988267439368715	0.889462235481201	6.90028578834827e-13
Varibaculum	0.00777663164692646	0.466035516251723	3.68521783902671e-12	0.982005406997302	0.142233497619179	0.333377024315499	2.6663634952958e-11	0.988267439368715	0.889462235481201	0.336109622875462
Veillonella	1.35309385495264	1.05690796838837	0.0149359599978876	0.987689043582179	0.250685880680583	1.6379370943076e-22	0.0382733974945869	0.988267439368715	0.899784019464909	6.10503826060106e-22
