Taxa	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
Chlorobium	0.302	0.288	0.217	0.346	0.081	0.224	0.0163074129025301	0.372736557008242	0.0169977104700714	0.308392725191546	0.676707483749596	0.0186787572008927	0.026190693449518	0.972457701939892	0.0343191868538584	0.367299200789931	0.992849071326454	0.0262244803085381
Capnocytophaga	0.189	0.281	0.189	0.352	0	0	0.0441636493254044	0.999986120067965	0.0372781814049165	0.0853695675532917	0.599279080504511	0.000318022413664609	0.0570895954694252	0.999986120067965	0.0617419879518929	0.119876073903136	0.992849071326454	0.000717242039328692
Xanthomonas	0.228	0.276	0.303	0.327	0.188	0.296	0.365968919976792	0.448291284683744	0.860482534142693	0.410649638808656	0.135804089916955	0.127012723794088	0.376628208908155	0.999986120067965	0.877030275183898	0.460622875277435	0.992849071326454	0.147140423193151
Neisseria	0.295	0.307	0.24	0.337	0.163	0.295	0.255424515684784	0.686448454735072	0.265619207375677	0.717405791482157	0.472718650082175	0.569143096251037	0.265441163358697	0.999986120067965	0.304385253857532	0.756666804946354	0.992849071326454	0.58857725075717
Alkaliphilus	0.323	0.302	0.404	0.414	0.05	0.2	0.00178352265430711	0.459715839661642	0.00517198465997504	0.00153690859717592	0.473060857973498	0.00701084189361074	0.00415501981003414	0.999986120067965	0.0135365524433915	0.00485731252559145	0.992849071326454	0.0103215172322603
Peptoclostridium	1.678	0.428	1.67	0.54	0.109	0.247	4.84598105234565e-26	0.995761080779669	1.66533453693773e-15	1.18793863634892e-14	0.31218556404934	0.000296437245097711	1.14149775899697e-24	0.999986120067965	3.530509218308e-14	3.73225260221131e-13	0.992849071326454	0.000690601054513348
Oceanimonas	0.118	0.223	0.24	0.373	0	0	0.00774929808818884	0.059922694915673	0.188267566184648	0.00706935983948176	0.579283031349937	0.00419704826118957	0.0148004612134778	0.309844178588358	0.222374103550515	0.0174267940229085	0.992849071326454	0.0064947024187751
Erysipelothrix	0.26	0.331	0.364	0.406	0.05	0.201	0.0135969459005166	0.323267320261624	0.0571644444146957	0.0096783245223705	0.461008415875634	9.8485236599528e-06	0.0230604202472762	0.894749271973858	0.0859493774178403	0.0218277106249207	0.992849071326454	4.09389610962744e-05
Eubacterium	2.959	0.622	2.766	0.788	0.72	0.661	1.24014688650088e-23	0.364583732883067	2.33146835171283e-15	2.98649993624167e-14	0.638907113708096	1.00239990463745e-06	2.02239338413989e-22	0.966146892140127	3.80208685048554e-14	3.97355351237018e-13	0.992849071326454	5.18314097032045e-06
Methylobacterium	0.235	0.288	0.232	0.314	0.035	0.141	0.0319894749393552	0.999210829593166	0.0261314985547494	0.0699409231025675	0.682752923695561	0.000408516194639024	0.0453385520254074	0.999986120067965	0.0465535940639233	0.102968581234335	0.992849071326454	0.000899059459901825
Enterobacter	0.603	0.564	0.866	0.888	0.114	0.317	0.00080660060842297	0.120111007258924	0.0110593924638617	0.000483419484728853	0.217906374496777	4.54915188953435e-05	0.00213749161232087	0.489683337286383	0.0236827394175624	0.00173703272478842	0.992849071326454	0.000137774314368755
Escherichia	1.655	1.011	2.692	1.115	1.572	0.582	1.01416209195739e-05	9.30006934829475e-06	0.948731130785681	0.00134468814629807	0.375779487046337	2.10177445330569e-10	4.05664836782956e-05	0.000164301225153207	0.957766665364593	0.00431930131841197	0.992849071326454	5.56970230126008e-09
Haemophilus	0.658	0.791	0.39	0.645	0.104	0.287	0.00995767461097031	0.201606992552924	0.0148709924711993	0.422965989204516	0.485946190754045	2.11272120280427e-05	0.0174465042770719	0.647586097291211	0.0303139461912908	0.469470103200824	0.992849071326454	7.59147279651703e-05
Ralstonia	0.236	0.285	0.246	0.337	0.035	0.141	0.0295391954516075	0.986326791921423	0.0266789787652237	0.0516769692971468	0.781936620125548	0.000201334049829729	0.0428925303817862	0.999986120067965	0.0471328624852286	0.0862639172519301	0.992849071326454	0.000520522177608567
Alistipes	3.242	0.515	2.722	0.708	0.819	0.588	4.14721281372975e-32	9.93214478126614e-05	1.66533453693773e-15	2.23154827949656e-14	0.649176670787082	1.09838795145426e-06	1.46534852751785e-30	0.0016197036104834	3.530509218308e-14	3.97355351237018e-13	0.992849071326454	5.54424394543577e-06
Salinispora	0.129	0.209	0.168	0.279	0	0	0.0388397144036013	0.662118268093345	0.0681608031722234	0.034404436846637	0.197869215055733	0.00276416618671823	0.0520448406003826	0.999986120067965	0.0963339351500757	0.0628770742369572	0.992849071326454	0.00450771716603281
Desulfatibacillum	0.17	0.264	0.121	0.23	0.05	0.201	0.183326554306973	0.644794006670619	0.188808201127796	0.642537601990797	0.843722139235611	1.17827345795673e-05	0.196289037944839	0.999986120067965	0.222374103550515	0.681089858110244	0.992849071326454	4.62581431642273e-05
Granulicella	0.196	0.279	0.22	0.395	0	0	0.0341697499363586	0.921087629774768	0.0365407085087931	0.0453952584271943	0.672333065323476	3.29143588845343e-08	0.0476578091217633	0.999986120067965	0.0609970882194026	0.0776112482787515	0.992849071326454	3.0338452537049e-07
Rhodospirillum	0.241	0.297	0.227	0.293	0	0	0.00694962244137006	0.966311479311456	0.00490868238602404	0.0295324790997926	0.974062883764886	2.04376274074682e-05	0.0135166968584445	0.999986120067965	0.0131726666561658	0.0544424832100525	0.995687648170567	7.47030519031597e-05
Salmonella	0.39	0.522	0.68	0.693	0.114	0.317	0.00356807936126084	0.0368002285520281	0.148368901897869	0.00330198935994719	0.923900185194354	1.59860265052487e-08	0.00771870229170712	0.251666079129999	0.180771305760622	0.00909119148452992	0.995400790792213	1.61382743767273e-07
Helicobacter	0.143	0.24	0.161	0.267	0.108	0.242	0.784781599755634	0.937941096486354	0.852466589839494	0.76625520628775	0.154202131619663	0.775145018585684	0.788500943830305	0.999986120067965	0.8730575702704	0.800227111985237	0.992849071326454	0.790051653558486
