Taxa	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)
OTU181914	1.144	0.975	1.098	0.934	0.869149109710495	0.378854808547113	6.97610527639016e-39	0.999999461192889	0.998351084606317	3.1833819179609e-38
OTU328892	0.477	0.753	0.497	0.76	0.96045323536457	0.593574828172172	2.64297746511885e-22	0.999999461192889	0.998351084606317	4.90024677612418e-22
OTU195757	0.415	0.74	0.415	0.71	0.999985162802666	0.736515273066867	5.29801620134179e-41	0.999999461192889	0.998351084606317	2.78083667281696e-40
OTU177234	0.162	0.336	0.178	0.333	0.875322322817953	0.73285250998074	0.00273732818375071	0.999999461192889	0.998351084606317	0.00288983277566884
OTU177237	2.328	0.982	2.485	0.917	0.197774858665667	0.709232202696754	3.1562899643482e-24	0.617632100525741	0.998351084606317	6.27888288281368e-24
OTU989234	0.648	1.02	0.759	1.098	0.518489802165597	0.787126829589984	2.24266754693734e-52	0.999999461192889	0.998351084606317	5.11694350505296e-51
OTU181003	0.713	0.901	0.678	0.865	0.912144688066854	0.95838559026085	1.96801654117583e-33	0.999999461192889	0.998351084606317	6.04462223361149e-33
OTU181008	0.435	0.734	0.349	0.624	0.390397403248428	0.590516596721016	1.19142086622487e-19	0.924996964453235	0.998351084606317	2.012097474984e-19
OTU182264	0.572	0.865	0.521	0.789	0.795392623555604	0.690004153254924	2.97293821203407e-35	0.999999461192889	0.998351084606317	1.0011279882693e-34
OTU191180	0.714	0.849	0.671	0.828	0.853050316474314	0.934869170129151	1.06415614931688e-38	0.999999461192889	0.998351084606317	4.77801837323804e-38
OTU176785	0.908	0.739	0.956	0.758	0.780789729404721	0.696117038480659	1.27010871993e-15	0.999999461192889	0.998351084606317	1.93986550393681e-15
OTU4370025	0.412	0.701	0.448	0.731	0.864943552512013	0.451692257342591	3.69220185533772e-32	0.999999461192889	0.998351084606317	1.07217705825132e-31
OTU185588	0.896	0.862	1.087	0.973	0.078870618268808	0.456919011987715	1.82600676282432e-37	0.333708092358184	0.998351084606317	7.18829422830137e-37
OTU560336	1.151	1.206	1.116	1.164	0.948053457169536	0.708610322912449	9.48384370023593e-37	0.999999461192889	0.998351084606317	3.54613286182735e-36
OTU180637	1.529	1.119	1.607	1.214	0.765594143384323	0.807871855941833	4.04606901001215e-49	0.999999461192889	0.998351084606317	5.9519804647284e-48
OTU174439	1.55	1.111	1.634	1.11	0.713174336160414	0.720534014224729	3.07168805833134e-39	0.999999461192889	0.998351084606317	1.43688169423198e-38
OTU182854	0.351	0.439	0.334	0.43	0.913704694396368	0.803916895412062	1.05823772700653e-11	0.999999461192889	0.998351084606317	1.4697015885631e-11
OTU189205	0.506	0.941	0.508	0.918	0.999739320480292	0.55190942241335	1.64290904231681e-68	0.999999461192889	0.998351084606317	4.59193077327548e-66
OTU189754	0.619	0.862	0.367	0.652	0.00175654341538819	0.8318081841916	3.37777203232132e-29	0.0136376079055833	0.998351084606317	8.27911631713392e-29
OTU3333303	1.262	0.689	2.867	0.949	2.43202373927226e-55	0.124617794671489	0.0161906597396021	1.3595012702532e-52	0.998351084606317	0.0167603311008104
OTU174924	0.403	0.563	0.288	0.462	0.0514589706865132	0.217576573835395	7.84152822845641e-13	0.246914717714686	0.998351084606317	1.11679344705914e-12
OTU294922	0.155	0.273	0.171	0.267	0.822309719805401	0.411288572848604	0.0339887607108625	0.999999461192889	0.998351084606317	0.034958081393509
OTU215231	0.661	0.62	0.415	0.508	2.28373942567186e-05	0.666708474390548	3.053965093099e-07	0.000280573700868257	0.998351084606317	3.72743774463394e-07
OTU1100972	0.719	0.816	0.446	0.675	0.000424237697552359	0.106307557947223	2.79404866893128e-05	0.00405382688772254	0.998351084606317	3.19075220823818e-05
OTU193572	0.219	0.412	0.201	0.394	0.897022072478804	0.130962011028307	1.81432532115103e-14	0.999999461192889	0.998351084606317	2.69736131522187e-14
OTU191043	1.131	1.092	1.033	0.972	0.587902866568252	0.346241689688458	1.27805339344771e-37	0.999999461192889	0.998351084606317	5.19586797772562e-37
OTU644946	0.455	0.516	1.826	0.94	1.26610218019648e-50	0.397939592140949	0.261314035837089	2.35917039576611e-48	0.998351084606317	0.263197380239518
OTU195207	0.345	0.712	0.297	0.6	0.723360746521216	0.7921227166753	6.0836688657327e-26	0.999999461192889	0.998351084606317	1.29306878172798e-25
OTU850905	0.405	0.83	0.422	0.855	0.97816981859951	0.88123467856105	2.00503387269555e-45	0.999999461192889	0.998351084606317	1.76506131470364e-44
OTU196518	0.18	0.38	0.232	0.339	0.293955193659361	0.286267388100624	1.29565193155305e-06	0.790184315551881	0.998351084606317	1.55089813648428e-06
